tc_id,title,source_sheet,source_row,area,menu_path,depth,entry_method,entry_evidence,text_input_required,focus_nav_required,mutation_suspected,baseline_screen_id,anchor_state,anchor_reason,confidence,recommended_probe
23.Settings#149.0,Settings / 알림,23.Settings,154,알림,설정 > 알림 > 방해금지 모드,2,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,False,,MISSING,no baseline d1 screen for area '알림',0.3,PROBE_PRIORITY_MEDIUM
23.Settings#150.0,Settings / 알림,23.Settings,155,알림,설정 > 알림 > 방해 금지 모드 > 지금 사용설정,3,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,True,,MISSING,no baseline d1 screen for area '알림',0.3,PROBE_DEFER_MUTATION
23.Settings#152.0,Settings / 알림,23.Settings,157,알림,설정 > 알림 > 방해 금지 모드 > 사람,3,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,False,,MISSING,no baseline d1 screen for area '알림',0.3,PROBE_PRIORITY_MEDIUM
23.Settings#153.0,Settings / 알림,23.Settings,158,알림,설정 > 알림 > 방해 금지 모드 > 사람 > 메시지,4,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,True,False,False,,MISSING,no baseline d1 screen for area '알림',0.3,PROBE_DEFER_INPUT
23.Settings#154.0,Settings / 알림,23.Settings,159,알림,설정 > 알림 > 방해 금지 모드 > 사람 > 메시지 > 설정,5,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,False,,MISSING,no baseline d1 screen for area '알림',0.3,PROBE_PRIORITY_MEDIUM
23.Settings#156.0,Settings / 알림,23.Settings,161,알림,설정 > 알림 > 방해 금지 모드 > 사람 > 전화 > 설정,5,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,False,,MISSING,no baseline d1 screen for area '알림',0.3,PROBE_PRIORITY_MEDIUM
23.Settings#159.0,Settings / 알림,23.Settings,164,알림,설정 > 알림 > 방해 금지 모드 > 앱,3,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,False,,MISSING,no baseline d1 screen for area '알림',0.3,PROBE_PRIORITY_MEDIUM
23.Settings#161.0,Settings / 알림,23.Settings,166,알림,설정 > 알림 > 방해 금지 모드 > 앱 > 앱 추가,4,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,True,,MISSING,no baseline d1 screen for area '알림',0.3,PROBE_DEFER_MUTATION
23.Settings#162.0,Settings / 알림,23.Settings,167,알림,설정 > 알림 > 방해 금지 모드 > 알람 및 기타 방해 요소,3,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,False,,MISSING,no baseline d1 screen for area '알림',0.3,PROBE_PRIORITY_MEDIUM
23.Settings#163.0,Settings / 알림,23.Settings,168,알림,설정 > 알림 > 방해 금지 모드 > 알람 및 기타 방해 요소,3,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,True,,MISSING,no baseline d1 screen for area '알림',0.3,PROBE_DEFER_MUTATION
23.Settings#164.0,Settings / 알림,23.Settings,169,알림,설정 > 알림 > 방해 금지 모드 > 예약,3,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,False,,MISSING,no baseline d1 screen for area '알림',0.3,PROBE_PRIORITY_MEDIUM
23.Settings#165.0,Settings / 알림,23.Settings,170,알림,설정 > 알림 > 방해 금지 모드 > 예약 > 수면 시간 체크,4,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,True,False,True,,MISSING,no baseline d1 screen for area '알림',0.3,PROBE_DEFER_MUTATION
23.Settings#166.0,Settings / 알림,23.Settings,171,알림,설정 > 알림 > 방해 금지 모드 > 빠른 설정 지속 시간 > 사용중지할때까지,4,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,False,,MISSING,no baseline d1 screen for area '알림',0.3,PROBE_PRIORITY_MEDIUM
23.Settings#167.0,Settings / 알림,23.Settings,172,알림,설정 > 알림 > 방해 금지 모드 > 숨겨진 알림의 표시 옵션,3,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,False,,MISSING,no baseline d1 screen for area '알림',0.3,PROBE_PRIORITY_MEDIUM
23.Settings#168.0,Settings / 알림,23.Settings,173,알림,설정 > 알림 > 방해 금지 모드 > 숨겨진 알림의 표시 옵션 > 알림 소리 차단,4,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,False,,MISSING,no baseline d1 screen for area '알림',0.3,PROBE_PRIORITY_MEDIUM
23.Settings#177.0,Settings / 알림,23.Settings,182,알림,설정 > 알림 > 상태 표시줄에서 무음 알림 숨기기 ON,2,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,True,,MISSING,no baseline d1 screen for area '알림',0.3,PROBE_DEFER_MUTATION
23.Settings#178.0,Settings / 알림,23.Settings,183,알림,설정 > 알림 > 상태 표시줄에서 무음 알림 숨기기 OFF,2,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,True,,MISSING,no baseline d1 screen for area '알림',0.3,PROBE_DEFER_MUTATION
23.Settings#181.0,Settings / 알림,23.Settings,186,알림,설정 > 알림 > 앱 아이콘에 알림 표시 점 사용 ON,2,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,True,,MISSING,no baseline d1 screen for area '알림',0.3,PROBE_DEFER_MUTATION
23.Settings#182.0,Settings / 알림,23.Settings,187,알림,설정 > 알림 > 앱 아이콘에 알림 표시 점 사용 OFF,2,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,True,,MISSING,no baseline d1 screen for area '알림',0.3,PROBE_DEFER_MUTATION
23.Settings#186.0,Settings / 알림 읽어주기,23.Settings,191,알림 읽어주기,설정 > 알림 읽어주기 > 임의의 메뉴 활성화,2,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,True,False,True,,MISSING,no baseline d1 screen for area '알림 읽어주기',0.3,PROBE_DEFER_MUTATION
23.Settings#187.0,Settings / 알림 읽어주기,23.Settings,192,알림 읽어주기,설정 > 알림 읽어주기 > 임의의 메뉴 활성화,2,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,True,False,True,,MISSING,no baseline d1 screen for area '알림 읽어주기',0.3,PROBE_DEFER_MUTATION
23.Settings#188.0,Settings / 알림 읽어주기,23.Settings,193,알림 읽어주기,설정 > 알림 읽어주기 > 임의의 메뉴 활성화,2,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,True,False,True,,MISSING,no baseline d1 screen for area '알림 읽어주기',0.3,PROBE_DEFER_MUTATION
23.Settings#189.0,Settings / 알림 읽어주기,23.Settings,194,알림 읽어주기,설정 > 알림 읽어주기 > 정각 알림 읽어주기 ON,2,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,True,False,True,,MISSING,no baseline d1 screen for area '알림 읽어주기',0.3,PROBE_DEFER_MUTATION
23.Settings#190.0,Settings / 알림 읽어주기,23.Settings,195,알림 읽어주기,설정 > 알림 읽어주기 > 정각 알림 읽어주기 ON > 알림 시작 시간,3,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,False,False,True,,MISSING,no baseline d1 screen for area '알림 읽어주기',0.3,PROBE_DEFER_MUTATION
23.Settings#191.0,Settings / 알림 읽어주기,23.Settings,196,알림 읽어주기,설정 > 알림 읽어주기 > 정각 알림 읽어주기 ON > 임의의 시간 설정 팝업창 활성화,3,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,True,False,True,,MISSING,no baseline d1 screen for area '알림 읽어주기',0.3,PROBE_DEFER_MUTATION
23.Settings#193.0,Settings / 알림 읽어주기,23.Settings,198,알림 읽어주기,설정 > 알림 읽어주기 > 정각 알림 읽어주기 ON > 임의의 시간 설정 팝업창 활성화 > HH : MM 부분에서 LCD 패널,4,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,True,False,True,,MISSING,no baseline d1 screen for area '알림 읽어주기',0.3,PROBE_DEFER_MUTATION
23.Settings#194.0,Settings / 알림 읽어주기,23.Settings,199,알림 읽어주기,설정 > 알림 읽어주기 > 정각 알림 읽어주기 ON > 임의의 시간 설정 팝업창 활성화,3,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,True,False,True,,MISSING,no baseline d1 screen for area '알림 읽어주기',0.3,PROBE_DEFER_MUTATION
23.Settings#195.0,Settings / 알림 읽어주기,23.Settings,200,알림 읽어주기,설정 > 알림 읽어주기 > 정각 알림 읽어주기 ON > 임의의 시간 설정 팝업창 활성화 > HH: MM 부분에서 LCD 패널 > 하단의 시계 움직이기,5,MENU_NAVIGATION,no baseline deep-link for area; tap-navigation required,True,False,True,,MISSING,no baseline d1 screen for area '알림 읽어주기',0.3,PROBE_DEFER_MUTATION
