tc_id,baseline,tier0,tier1,tier2,tier0_screen,tier0_focus_candidate,tier0_adjudicate,optimistic_upper_bound
ALTBASIC_SET_123,False,False,False,True,False,False,False,True
ALTBASIC_SET_256,False,False,True,True,False,False,False,True
ALTBASIC_SET_273,False,False,True,True,False,False,False,True
ALTBASIC_SET_602,False,False,True,True,False,False,False,True
ALTBASIC_SET_610,False,False,True,True,False,False,False,True
ALTBASIC_SET_651,False,False,True,True,False,False,False,True
ALTBASIC_SET_972,False,False,True,True,False,False,False,True
ALTBASIC_SET_977,False,False,True,True,False,False,False,True
ALTBASIC_SET_985,False,False,True,True,False,False,False,True
ALTBASIC_SET_987,False,False,True,True,False,False,False,True
ALTBASIC_LCH_001,False,False,False,True,False,False,False,True
ALTBASIC_LCH_002,False,False,False,True,False,False,False,True
ALTBASIC_LCH_006,False,False,False,False,False,False,False,True
ALTBASIC_LCH_010,False,False,False,False,False,False,False,True
ALTBASIC_LCH_011,False,False,False,False,False,False,False,True
ALTBASIC_LCH_016,False,False,False,False,False,False,False,True
ALTBASIC_LCH_017,False,False,False,False,False,False,False,True
ALTBASIC_LCH_018,False,False,False,False,False,False,False,True
ALTBASIC_LCH_019,False,False,False,False,False,False,False,True
ALTBASIC_LCH_020,False,False,False,False,False,False,False,True
ALTBASIC_LCH_021,False,False,False,False,False,False,False,False
ALTBASIC_LCH_022,False,False,False,False,False,False,False,True
ALTBASIC_LCH_023,False,False,False,False,False,False,False,True
ALTBASIC_LCH_024,False,False,False,False,False,False,False,True
ALTBASIC_LCH_026,False,False,False,False,False,False,False,True
ALTBASIC_LCH_027,False,False,False,False,False,False,True,True
ALTBASIC_LCH_029,False,False,False,False,False,False,True,True
ALTBASIC_LCH_030,False,False,False,False,False,False,True,True
ALTBASIC_LCH_042,False,False,False,False,False,False,False,True
ALTBASIC_LCH_044,False,False,False,False,False,False,False,True
ALTBASIC_LCH_045,False,False,False,False,False,False,False,True
ALTBASIC_LCH_046,False,False,False,False,False,False,False,True
ALTBASIC_LCH_047,False,False,False,False,False,False,False,True
ALTBASIC_LCH_048,False,False,False,False,False,False,False,True
ALTBASIC_LCH_049,False,False,False,False,False,False,False,True
ALTBASIC_LCH_050,False,False,False,False,False,False,False,True
ALTBASIC_LCH_144,False,False,False,False,False,False,False,False
ALTBASIC_LCH_145,False,False,False,False,False,False,False,False
ALTBASIC_LCH_146,False,False,False,False,False,False,False,False
ALTBASIC_LCH_153,False,False,False,False,False,True,False,True
ALTBASIC_LCH_154,False,False,False,False,False,True,False,True
ALTBASIC_LCH_158,False,False,False,False,False,False,False,False
ALTBASIC_LCH_159,False,False,False,False,False,False,False,False
ALTBASIC_LCH_160,False,False,False,False,False,False,False,False
ALTBASIC_LCH_161,False,False,False,False,False,False,False,False
ALTBASIC_LCH_241,False,False,False,True,False,False,False,True
ALTBASIC_CAL_291,False,False,True,True,False,False,False,True
ALTBASIC_CAL_293,False,False,True,True,False,False,False,True
ALTBASIC_CAL_294,False,False,True,True,False,False,False,True
ALTBASIC_CAL_326,False,False,True,True,False,False,False,True
ALTBASIC_CAL_327,False,False,True,True,False,False,False,True
ALTBASIC_CAL_328,False,False,True,True,False,False,False,True
ALTBASIC_CAL_331,False,False,True,True,False,False,False,True
ALTBASIC_CAL_332,False,False,True,True,False,False,False,True
ALTBASIC_CAL_333,False,False,True,True,False,False,False,True
ALTBASIC_CAL_334,False,False,True,True,False,False,False,True
ALTBASIC_CAL_336,False,False,True,True,False,False,False,True
ALTBASIC_CAL_337,False,False,True,True,False,False,False,True
ALTBASIC_CAL_339,False,False,True,True,False,False,False,True
ALTBASIC_CAL_340,False,False,True,True,False,False,False,True
ALTBASIC_CAL_341,False,False,True,True,False,False,False,True
ALTBASIC_CAL_353,False,False,True,True,False,False,False,True
